geoid,name,B07003001,"B07003001, Error",B07003002,"B07003002, Error",B07003003,"B07003003, Error",B07003004,"B07003004, Error",B07003005,"B07003005, Error",B07003006,"B07003006, Error",B07003007,"B07003007, Error",B07003008,"B07003008, Error",B07003009,"B07003009, Error",B07003010,"B07003010, Error",B07003011,"B07003011, Error",B07003012,"B07003012, Error",B07003013,"B07003013, Error",B07003014,"B07003014, Error",B07003015,"B07003015, Error",B07003016,"B07003016, Error",B07003017,"B07003017, Error",B07003018,"B07003018, Error"
14000US08001008507,"Census Tract 85.07, Adams, CO",6591,1108,3358,655,3233,634,5361,1140,2824,725,2537,512,722,460,387,228,335,266,508,427,147,162,361,302,0,17,0,17,0,17,0,17,0,17,0,17
14000US08001008508,"Census Tract 85.08, Adams, CO",5770,885,2810,433,2960,528,5091,864,2411,405,2680,530,414,204,234,161,180,95,106,68,47,39,59,48,79,57,71,54,8,13,80,85,47,66,33,55
14000US08001008524,"Census Tract 85.24, Adams, CO",9528,940,5032,668,4496,480,8250,856,4204,593,4046,468,695,446,507,352,188,110,421,192,243,133,178,105,162,153,78,71,84,89,0,17,0,17,0,17
14000US08001008526,"Census Tract 85.26, Adams, CO",7155,881,3507,548,3648,497,6296,806,3157,497,3139,458,306,209,109,110,197,130,271,211,124,89,147,150,282,221,117,108,165,124,0,17,0,17,0,17
14000US08001008533,"Census Tract 85.33, Adams, CO",8469,1029,4181,580,4288,705,6974,1077,3324,608,3650,700,612,290,353,168,259,162,620,391,384,220,236,180,244,217,120,101,124,126,19,30,0,17,19,30
14000US08001008534,"Census Tract 85.34, Adams, CO",4779,641,2443,407,2336,331,4254,617,2172,383,2082,311,258,189,119,104,139,131,82,60,61,43,21,24,185,196,91,86,94,113,0,12,0,12,0,12
14000US08001008535,"Census Tract 85.35, Adams, CO",3934,578,2007,336,1927,327,3013,594,1560,367,1453,279,378,252,198,128,180,157,325,195,158,122,167,99,218,119,91,73,127,69,0,12,0,12,0,12
14000US08001008536,"Census Tract 85.36, Adams, CO",3686,459,1744,287,1942,249,3084,436,1450,252,1634,255,275,207,129,111,146,105,247,130,99,63,148,78,15,19,1,6,14,17,65,94,65,94,0,12
14000US08001008538,"Census Tract 85.38, Adams, CO",8299,922,4250,507,4049,538,7433,862,3834,511,3599,449,477,291,217,131,260,183,124,101,73,57,51,53,257,219,118,99,139,123,8,33,8,33,0,17
14000US08001008540,"Census Tract 85.40, Adams, CO",8925,1314,4509,1081,4416,525,7950,1209,4072,913,3878,523,476,286,312,219,164,103,109,100,30,47,79,89,390,358,95,85,295,282,0,17,0,17,0,17
14000US08001008544,"Census Tract 85.44, Adams, CO",6045,723,2658,345,3387,536,5210,772,2396,351,2814,527,468,247,108,104,360,201,242,166,100,60,142,115,89,68,26,27,63,57,36,59,28,46,8,14
14000US08001008545,"Census Tract 85.45, Adams, CO",7143,782,3477,458,3666,434,6404,620,3102,377,3302,378,318,194,166,115,152,104,202,149,89,124,113,85,219,178,120,94,99,98,0,17,0,17,0,17
14000US08001008546,"Census Tract 85.46, Adams, CO",4291,714,2265,333,2026,529,3542,742,1934,358,1608,504,345,213,182,112,163,125,147,88,41,47,106,74,257,195,108,80,149,140,0,12,0,12,0,12
14000US08001008547,"Census Tract 85.47, Adams, CO",3040,514,1453,312,1587,264,2642,540,1253,333,1389,267,201,119,132,84,69,56,94,77,42,41,52,42,93,138,26,42,67,96,10,17,0,12,10,17
14000US08001008548,"Census Tract 85.48, Adams, CO",1725,244,802,186,923,116,1453,241,607,180,846,124,115,76,85,59,30,37,93,52,63,44,30,22,64,53,47,39,17,18,0,12,0,12,0,12
14000US08001008549,"Census Tract 85.49, Adams, CO",3845,743,2218,546,1627,299,3080,788,1758,564,1322,305,461,257,285,175,176,93,256,134,154,73,102,82,44,48,21,23,23,25,4,7,0,12,4,7
14000US08001008550,"Census Tract 85.50, Adams, CO",8158,1189,4132,663,4026,625,7089,1192,3603,657,3486,621,760,360,390,198,370,201,160,119,58,51,102,77,149,139,81,69,68,77,0,17,0,17,0,17
14000US08001008551,"Census Tract 85.51, Adams, CO",1679,270,804,154,875,140,1559,257,736,143,823,139,93,76,52,39,41,40,20,18,15,17,5,8,7,9,1,3,6,8,0,12,0,12,0,12
14000US08001008603,"Census Tract 86.03, Adams, CO",1848,356,760,154,1088,264,1538,248,630,142,908,200,136,130,23,29,113,130,65,46,52,43,13,15,109,78,55,43,54,56,0,12,0,12,0,12
14000US08001008604,"Census Tract 86.04, Adams, CO",5380,793,3203,509,2177,426,3634,674,1855,367,1779,423,813,284,602,217,211,90,660,185,526,146,134,83,260,162,207,136,53,47,13,25,13,25,0,17
14000US08001008605,"Census Tract 86.05, Adams, CO",3964,745,2102,476,1862,399,3612,715,1943,430,1669,390,183,122,88,84,95,74,131,115,43,48,88,89,38,40,28,35,10,17,0,12,0,12,0,12
14000US08001008606,"Census Tract 86.06, Adams, CO",5734,801,2854,449,2880,499,5195,721,2564,439,2631,466,332,227,156,128,176,129,138,139,98,122,40,69,69,66,36,41,33,37,0,17,0,17,0,17
14000US08001008705,"Census Tract 87.05, Adams, CO",5307,854,2626,439,2681,520,4887,918,2382,473,2505,532,176,93,90,53,86,64,240,168,150,113,90,71,4,9,4,9,0,17,0,17,0,17,0,17
14000US08001008706,"Census Tract 87.06, Adams, CO",5599,902,2639,481,2960,667,4630,714,2459,492,2171,386,623,541,55,50,568,524,216,155,81,73,135,94,96,94,37,44,59,76,34,46,7,11,27,44
14000US08001008709,"Census Tract 87.09, Adams, CO",7634,1073,3537,457,4097,883,6183,825,2816,463,3367,637,382,285,167,133,215,170,924,670,414,214,510,557,94,61,89,59,5,16,51,75,51,75,0,17
14000US08001008801,"Census Tract 88.01, Adams, CO",4896,700,2445,433,2451,376,4339,677,2187,416,2152,361,359,192,160,108,199,111,138,91,59,47,79,88,60,63,39,58,21,23,0,12,0,12,0,12
14000US08001008802,"Census Tract 88.02, Adams, CO",5384,971,3083,590,2301,479,4660,938,2657,580,2003,464,358,230,215,145,143,127,220,118,134,70,86,75,106,105,37,42,69,94,40,44,40,44,0,17
14000US08001008901,"Census Tract 89.01, Adams, CO",2679,480,1416,292,1263,225,2316,497,1243,302,1073,225,130,75,57,46,73,41,181,137,69,53,112,91,52,39,47,35,5,9,0,12,0,12,0,12
14000US08001009001,"Census Tract 90.01, Adams, CO",4504,683,2235,402,2269,429,3830,576,1938,347,1892,360,438,310,158,131,280,212,150,115,106,84,44,58,6,13,0,12,6,13,80,111,33,40,47,73
14000US08001009101,"Census Tract 91.01, Adams, CO",4936,702,2542,484,2394,347,4381,753,2239,494,2142,365,448,228,249,138,199,130,78,72,25,30,53,56,29,37,29,37,0,17,0,17,0,17,0,17
14000US08001009103,"Census Tract 91.03, Adams, CO",4641,819,2247,530,2394,388,4056,756,1967,484,2089,392,347,262,201,159,146,141,98,112,33,40,65,75,84,116,45,63,39,53,56,56,1,2,55,56
14000US08001009104,"Census Tract 91.04, Adams, CO",6291,1258,2754,401,3537,943,5145,780,2275,304,2870,593,467,277,213,139,254,160,460,642,111,145,349,499,205,129,141,93,64,55,14,24,14,24,0,17
14000US08001009202,"Census Tract 92.02, Adams, CO",4609,733,2199,372,2410,519,4255,762,2039,373,2216,545,154,107,80,46,74,69,147,108,32,23,115,93,53,55,48,47,5,9,0,12,0,12,0,12
14000US08001009203,"Census Tract 92.03, Adams, CO",5570,967,3230,615,2340,450,3187,503,1890,312,1297,270,1882,944,997,580,885,416,334,165,235,132,99,64,167,137,108,114,59,48,0,17,0,17,0,17
14000US08001009204,"Census Tract 92.04, Adams, CO",6785,907,3500,634,3285,437,5196,926,2459,584,2737,434,759,473,531,381,228,168,589,363,445,301,144,110,241,174,65,63,176,133,0,17,0,17,0,17
14000US08001009206,"Census Tract 92.06, Adams, CO",2568,334,1136,163,1432,267,2238,325,1008,161,1230,258,187,154,87,95,100,80,58,38,18,19,40,27,85,57,23,27,62,52,0,12,0,12,0,12
14000US08001009207,"Census Tract 92.07, Adams, CO",4992,905,2564,510,2428,442,4152,937,2140,530,2012,458,616,350,334,194,282,165,139,107,65,65,74,52,32,33,25,25,7,12,53,74,0,17,53,74
14000US08001009304,"Census Tract 93.04, Adams, CO",5604,714,2397,394,3207,649,4470,771,1869,372,2601,657,696,420,260,186,436,277,438,301,268,275,170,98,0,17,0,17,0,17,0,17,0,17,0,17
14000US08001009306,"Census Tract 93.06, Adams, CO",3102,419,1562,233,1540,230,2931,421,1445,241,1486,223,24,29,14,20,10,18,136,105,96,72,40,43,11,24,7,13,4,21,0,12,0,12,0,12
14000US08001009307,"Census Tract 93.07, Adams, CO",3217,641,1789,358,1428,338,3016,625,1656,339,1360,340,30,33,10,16,20,30,134,113,86,68,48,48,19,30,19,30,0,12,18,29,18,29,0,12
14000US08001009308,"Census Tract 93.08, Adams, CO",4806,689,2473,461,2333,420,3981,688,2029,424,1952,394,175,155,83,82,92,100,506,380,253,195,253,256,144,79,108,60,36,40,0,12,0,12,0,12
14000US08001009309,"Census Tract 93.09, Adams, CO",4230,619,2037,502,2193,297,3852,515,1872,438,1980,268,272,202,128,132,144,109,72,62,37,42,35,30,34,34,0,12,34,34,0,12,0,12,0,12
14000US08001009310,"Census Tract 93.10, Adams, CO",6633,1459,2980,452,3653,1123,5379,886,2600,328,2779,686,1052,1204,254,284,798,931,202,197,126,112,76,89,0,17,0,17,0,17,0,17,0,17,0,17
14000US08001009316,"Census Tract 93.16, Adams, CO",7619,1354,3681,737,3938,746,6455,1399,3207,732,3248,799,783,422,304,165,479,270,366,318,170,115,196,235,15,26,0,17,15,26,0,17,0,17,0,17
14000US08001009318,"Census Tract 93.18, Adams, CO",6678,1002,3265,640,3413,626,5649,980,2716,628,2933,581,761,446,421,223,340,295,209,148,69,62,140,124,59,85,59,85,0,17,0,17,0,17,0,17
14000US08001009319,"Census Tract 93.19, Adams, CO",2689,547,1488,358,1201,233,2442,562,1355,368,1087,236,138,73,69,47,69,39,77,53,46,42,31,23,32,31,18,28,14,15,0,12,0,12,0,12
14000US08001009320,"Census Tract 93.20, Adams, CO",2749,563,1391,386,1358,257,2353,582,1200,408,1153,258,266,151,141,111,125,77,78,60,22,25,56,42,52,51,28,44,24,26,0,12,0,12,0,12
14000US08001009321,"Census Tract 93.21, Adams, CO",4085,668,2058,510,2027,311,3358,686,1741,521,1617,274,288,255,94,74,194,218,307,197,154,95,153,126,126,97,69,48,57,60,6,9,0,12,6,9
14000US08001009322,"Census Tract 93.22, Adams, CO",5669,1153,3049,865,2620,462,5050,1139,2868,863,2182,389,482,363,124,81,358,308,101,97,44,71,57,65,36,45,13,21,23,26,0,17,0,17,0,17
14000US08001009323,"Census Tract 93.23, Adams, CO",3882,453,1880,285,2002,335,3247,476,1585,301,1662,323,473,209,222,106,251,123,69,57,36,34,33,40,64,52,37,31,27,33,29,52,0,12,29,52
14000US08001009325,"Census Tract 93.25, Adams, CO",5355,677,2579,397,2776,437,3899,630,2000,430,1899,294,612,368,296,204,316,226,544,246,199,99,345,194,300,192,84,61,216,163,0,17,0,17,0,17
14000US08001009326,"Census Tract 93.26, Adams, CO",2936,464,1436,273,1500,243,2577,477,1249,280,1328,244,151,145,61,81,90,93,105,64,68,42,37,35,103,71,58,46,45,37,0,12,0,12,0,12
14000US08001009327,"Census Tract 93.27, Adams, CO",4488,622,2609,410,1879,268,4171,641,2401,419,1770,279,122,105,78,80,44,43,183,156,125,109,58,58,5,12,5,12,0,12,7,11,0,12,7,11
14000US08001009401,"Census Tract 94.01, Adams, CO",5187,655,2707,392,2480,361,4699,627,2401,370,2298,363,147,87,76,55,71,58,263,109,171,83,92,54,47,46,47,46,0,17,31,48,12,18,19,31
14000US08001009406,"Census Tract 94.06, Adams, CO",4781,615,2233,273,2548,516,3706,578,1711,230,1995,477,311,211,155,146,156,79,550,202,238,109,312,135,164,126,110,97,54,44,50,49,19,35,31,38
14000US08001009407,"Census Tract 94.07, Adams, CO",5052,826,2593,410,2459,515,4157,758,2127,339,2030,507,240,130,84,63,156,88,579,260,306,154,273,153,0,17,0,17,0,17,76,117,76,117,0,17
14000US08001009408,"Census Tract 94.08, Adams, CO",4823,492,2372,372,2451,262,4266,493,2105,362,2161,261,208,118,94,83,114,50,228,142,100,67,128,86,121,110,73,79,48,51,0,12,0,12,0,12
14000US08001009409,"Census Tract 94.09, Adams, CO",5338,901,2416,330,2922,643,4405,428,2110,240,2295,270,121,92,73,58,48,53,679,820,194,221,485,605,133,123,39,44,94,85,0,17,0,17,0,17
14000US08001009410,"Census Tract 94.10, Adams, CO",3152,355,1721,257,1431,150,2861,414,1559,287,1302,166,113,94,51,39,62,62,73,64,23,26,50,44,98,88,81,83,17,21,7,11,7,11,0,12
14000US08001009411,"Census Tract 94.11, Adams, CO",3050,354,1715,235,1335,189,2577,376,1424,239,1153,199,267,132,168,88,99,54,95,58,58,41,37,29,111,110,65,72,46,45,0,12,0,12,0,12
14000US08001009501,"Census Tract 95.01, Adams, CO",2945,526,1569,330,1376,273,2618,536,1309,314,1309,277,117,151,117,151,0,12,104,63,55,37,49,45,106,68,88,61,18,29,0,12,0,12,0,12
14000US08001009502,"Census Tract 95.02, Adams, CO",4923,925,2583,531,2340,465,4478,898,2363,524,2115,455,141,93,98,81,43,36,230,130,96,60,134,82,74,61,26,28,48,38,0,17,0,17,0,17
14000US08001009553,"Census Tract 95.53, Adams, CO",3606,498,2230,477,1376,188,3004,621,1892,549,1112,192,411,273,199,145,212,136,111,144,59,65,52,83,0,12,0,12,0,12,80,100,80,100,0,12
14000US08001009603,"Census Tract 96.03, Adams, CO",6357,814,3206,543,3151,472,4397,701,2129,385,2268,515,438,400,309,289,129,118,1330,514,643,289,687,320,122,141,94,113,28,36,70,53,31,35,39,33
14000US08001009604,"Census Tract 96.04, Adams, CO",4050,400,1877,212,2173,288,3485,375,1567,190,1918,270,191,173,108,111,83,70,284,161,145,104,139,85,5,9,0,12,5,9,85,108,57,77,28,33
14000US08001009606,"Census Tract 96.06, Adams, CO",2706,597,1407,395,1299,347,2451,602,1294,409,1157,321,92,80,34,34,58,75,33,39,23,25,10,17,130,119,56,58,74,70,0,12,0,12,0,12
14000US08001009607,"Census Tract 96.07, Adams, CO",4422,510,2323,324,2099,284,3759,566,1888,354,1871,283,355,171,273,139,82,65,214,96,111,74,103,57,62,44,39,33,23,22,32,44,12,20,20,26
14000US08001009608,"Census Tract 96.08, Adams, CO",3053,67,1427,160,1626,140,2816,93,1319,143,1497,147,68,44,39,38,29,25,135,79,63,51,72,43,34,36,6,9,28,34,0,12,0,12,0,12
14000US08001009751,"Census Tract 97.51, Adams, CO",3990,703,1956,459,2034,383,3162,660,1589,425,1573,308,138,118,74,87,64,69,487,266,218,154,269,177,203,159,75,58,128,105,0,12,0,12,0,12
14000US08001009752,"Census Tract 97.52, Adams, CO",3145,611,1507,213,1638,478,2740,605,1317,219,1423,469,39,28,24,21,15,18,226,114,113,77,113,51,132,156,53,55,79,102,8,13,0,12,8,13
14000US08001015000,"Census Tract 150, Adams, CO",3025,468,1462,256,1563,283,2670,442,1254,244,1416,268,286,147,167,95,119,65,66,48,41,39,25,26,3,7,0,12,3,7,0,12,0,12,0,12
14000US08001060100,"Census Tract 601, Adams, CO",7418,703,3887,417,3531,447,6092,737,3010,406,3082,464,747,331,502,232,245,116,479,250,320,181,159,112,100,115,55,65,45,52,0,17,0,17,0,17
14000US08001060200,"Census Tract 602, Adams, CO",4656,498,2423,404,2233,264,3331,494,1705,354,1626,254,533,292,266,159,267,160,368,188,215,115,153,96,424,191,237,172,187,96,0,12,0,12,0,12
14000US08001061200,"Census Tract 612, Adams, CO",3004,365,1434,184,1570,218,2625,314,1254,173,1371,185,181,129,101,69,80,64,113,56,43,29,70,40,85,56,36,30,49,42,0,12,0,12,0,12
14000US08001988700,"Census Tract 9887, Adams, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08003960000,"Census Tract 9600, Alamosa, CO",2111,327,1113,202,998,168,1906,320,1019,204,887,154,128,76,59,39,69,52,30,20,16,14,14,13,34,30,19,25,15,17,13,16,0,12,13,16
14000US08003960100,"Census Tract 9601, Alamosa, CO",2678,302,1199,209,1479,184,2418,329,1076,215,1342,202,104,106,68,69,36,41,59,40,36,27,23,18,83,62,10,10,73,57,14,15,9,14,5,10
14000US08003960300,"Census Tract 9603, Alamosa, CO",5225,512,2444,337,2781,279,4087,508,1927,303,2160,307,439,195,205,107,234,118,560,213,281,150,279,123,139,84,31,29,108,81,0,17,0,17,0,17
14000US08005004951,"Census Tract 49.51, Arapahoe, CO",1674,383,864,239,810,226,1103,250,539,140,564,173,84,49,69,44,15,17,160,70,81,51,79,61,327,343,175,187,152,178,0,12,0,12,0,12
14000US08005004952,"Census Tract 49.52, Arapahoe, CO",3485,380,1815,187,1670,329,2244,431,1119,181,1125,353,161,80,93,49,68,40,568,203,361,156,207,107,454,181,225,104,229,112,58,72,17,27,41,47
14000US08005005551,"Census Tract 55.51, Arapahoe, CO",2888,499,1540,276,1348,287,2636,498,1366,282,1270,277,83,70,69,61,14,23,62,48,57,47,5,12,107,122,48,48,59,84,0,12,0,12,0,12
14000US08005005552,"Census Tract 55.52, Arapahoe, CO",2416,353,1084,181,1332,310,2182,365,914,168,1268,312,11,18,11,18,0,12,197,86,151,70,46,57,26,29,8,12,18,25,0,12,0,12,0,12
14000US08005005553,"Census Tract 55.53, Arapahoe, CO",4503,681,2346,407,2157,371,4054,604,2102,383,1952,334,98,70,69,60,29,29,202,89,83,41,119,77,124,98,92,70,32,33,25,33,0,12,25,33
14000US08005005611,"Census Tract 56.11, Arapahoe, CO",5342,628,2698,333,2644,396,4389,552,2276,298,2113,335,474,368,259,218,215,180,276,120,114,63,162,80,104,69,41,44,63,41,99,130,8,18,91,128
14000US08005005612,"Census Tract 56.12, Arapahoe, CO",3456,399,1783,263,1673,268,3093,405,1539,257,1554,276,185,142,136,106,49,41,108,72,61,45,47,50,70,64,47,42,23,27,0,12,0,12,0,12
14000US08005005614,"Census Tract 56.14, Arapahoe, CO",3236,352,1599,220,1637,305,3046,393,1505,221,1541,338,141,127,62,49,79,80,24,37,15,24,9,13,25,38,17,25,8,13,0,12,0,12,0,12
14000US08005005619,"Census Tract 56.19, Arapahoe, CO",5089,769,2489,339,2600,466,4743,749,2308,333,2435,458,78,46,62,41,16,21,145,110,77,69,68,46,46,39,18,18,28,28,77,88,24,35,53,56
14000US08005005620,"Census Tract 56.20, Arapahoe, CO",2835,444,1166,281,1669,252,2199,446,920,287,1279,226,335,214,97,61,238,165,128,83,64,48,64,51,173,110,85,64,88,59,0,12,0,12,0,12
14000US08005005621,"Census Tract 56.21, Arapahoe, CO",2545,260,1238,152,1307,182,2371,256,1148,149,1223,182,44,44,27,26,17,25,64,63,48,50,16,18,45,53,5,10,40,44,21,32,10,15,11,18
14000US08005005622,"Census Tract 56.22, Arapahoe, CO",2768,310,1478,174,1290,170,2354,307,1265,172,1089,163,96,71,60,50,36,31,255,139,112,62,143,86,63,47,41,30,22,22,0,12,0,12,0,12
14000US08005005623,"Census Tract 56.23, Arapahoe, CO",3894,328,1898,200,1996,228,3190,296,1557,167,1633,197,218,150,153,121,65,50,271,107,123,70,148,80,215,156,65,63,150,124,0,12,0,12,0,12
14000US08005005624,"Census Tract 56.24, Arapahoe, CO",2345,281,1148,158,1197,155,2089,258,1022,129,1067,162,8,9,6,9,2,4,151,121,52,38,99,91,97,71,68,63,29,22,0,12,0,12,0,12
14000US08005005625,"Census Tract 56.25, Arapahoe, CO",3941,435,1942,295,1999,293,3106,356,1545,236,1561,224,306,214,111,103,195,124,340,209,139,80,201,160,189,164,147,150,42,37,0,12,0,12,0,12
14000US08005005626,"Census Tract 56.26, Arapahoe, CO",3889,591,1985,466,1904,217,3054,592,1601,439,1453,239,279,142,99,67,180,87,206,110,92,57,114,75,302,238,161,155,141,97,48,65,32,41,16,25
14000US08005005627,"Census Tract 56.27, Arapahoe, CO",4621,338,2166,218,2455,191,4148,375,1959,231,2189,210,163,93,52,40,111,63,241,149,115,80,126,82,45,43,28,28,17,22,24,35,12,17,12,18
14000US08005005628,"Census Tract 56.28, Arapahoe, CO",5857,722,2813,361,3044,479,5250,672,2464,326,2786,463,81,53,49,45,32,30,447,351,259,231,188,135,79,57,41,36,38,45,0,17,0,17,0,17
14000US08005005629,"Census Tract 56.29, Arapahoe, CO",2696,411,1328,180,1368,269,2435,417,1169,181,1266,273,77,44,42,27,35,26,67,73,38,39,29,35,117,69,79,50,38,26,0,12,0,12,0,12
14000US08005005630,"Census Tract 56.30, Arapahoe, CO",5331,518,2740,386,2591,267,4960,569,2539,396,2421,296,244,237,137,149,107,93,49,72,7,14,42,66,78,100,57,69,21,33,0,17,0,17,0,17
14000US08005005631,"Census Tract 56.31, Arapahoe, CO",3420,472,1591,273,1829,261,3196,467,1464,256,1732,267,52,70,31,37,21,34,157,119,89,81,68,44,15,24,7,12,8,12,0,12,0,12,0,12
14000US08005005632,"Census Tract 56.32, Arapahoe, CO",3036,269,1479,162,1557,181,2671,253,1288,155,1383,167,71,52,30,29,41,36,210,139,99,68,111,75,84,71,62,50,22,24,0,12,0,12,0,12
14000US08005005633,"Census Tract 56.33, Arapahoe, CO",3714,891,1745,377,1969,551,3474,898,1671,379,1803,553,84,64,9,12,75,62,88,50,38,30,50,38,68,71,27,34,41,46,0,12,0,12,0,12
14000US08005005634,"Census Tract 56.34, Arapahoe, CO",2846,261,1186,151,1660,182,2184,249,897,139,1287,175,224,131,90,63,134,78,269,123,128,66,141,70,158,106,60,50,98,64,11,17,11,17,0,12
14000US08005005635,"Census Tract 56.35, Arapahoe, CO",4712,383,2241,240,2471,265,4200,378,1998,235,2202,250,218,115,120,86,98,69,237,153,95,68,142,95,42,34,21,21,21,23,15,25,7,12,8,13
14000US08005005636,"Census Tract 56.36, Arapahoe, CO",1708,235,853,116,855,148,1596,234,785,107,811,151,42,47,21,23,21,24,27,34,21,26,6,9,43,47,26,27,17,26,0,12,0,12,0,12
14000US08005005800,"Census Tract 58, Arapahoe, CO",2666,396,1181,155,1485,315,2235,357,949,161,1286,288,182,148,92,81,90,77,206,94,123,58,83,54,43,41,17,19,26,29,0,12,0,12,0,12
14000US08005005951,"Census Tract 59.51, Arapahoe, CO",4672,574,1996,399,2676,504,3723,499,1645,359,2078,378,173,138,57,49,116,119,437,326,148,112,289,300,322,202,146,120,176,138,17,27,0,12,17,27
14000US08005005952,"Census Tract 59.52, Arapahoe, CO",3885,443,1935,314,1950,257,2114,302,994,166,1120,184,645,334,394,216,251,132,847,341,423,236,424,201,245,118,98,59,147,94,34,44,26,32,8,14
14000US08005006000,"Census Tract 60, Arapahoe, CO",2638,343,1347,175,1291,211,2233,361,1168,179,1065,216,174,136,70,61,104,82,155,71,97,58,58,44,66,66,12,18,54,51,10,17,0,12,10,17
14000US08005006100,"Census Tract 61, Arapahoe, CO",3477,523,1635,280,1842,305,2673,522,1241,288,1432,273,250,106,126,78,124,73,410,113,218,91,192,70,144,99,50,42,94,66,0,12,0,12,0,12
14000US08005006200,"Census Tract 62, Arapahoe, CO",3558,494,1608,216,1950,449,2795,410,1417,225,1378,261,273,279,59,59,214,226,425,392,82,59,343,397,65,58,50,48,15,25,0,12,0,12,0,12
14000US08005006300,"Census Tract 63, Arapahoe, CO",2589,353,1263,230,1326,214,2312,370,1078,224,1234,215,101,97,47,59,54,55,115,87,77,77,38,44,50,60,50,60,0,12,11,18,11,18,0,12
14000US08005006400,"Census Tract 64, Arapahoe, CO",3078,448,1456,256,1622,357,2241,342,1245,272,996,155,535,421,93,123,442,358,250,160,113,70,137,123,24,34,5,9,19,29,28,35,0,12,28,35
14000US08005006501,"Census Tract 65.01, Arapahoe, CO",2275,370,1302,228,973,215,1437,330,821,211,616,163,275,121,115,53,160,98,201,100,148,89,53,39,362,172,218,94,144,97,0,12,0,12,0,12
14000US08005006502,"Census Tract 65.02, Arapahoe, CO",3346,390,1803,302,1543,210,2732,378,1390,277,1342,212,214,133,132,90,82,62,164,89,89,70,75,49,236,144,192,132,44,31,0,12,0,12,0,12
14000US08005006601,"Census Tract 66.01, Arapahoe, CO",5577,767,2941,597,2636,494,4082,751,2122,528,1960,482,530,243,363,179,167,106,725,314,401,216,324,174,240,134,55,55,185,98,0,17,0,17,0,17
