geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US08001008544,"Census Tract 85.44, Adams, CO",6086,718,4847,545,4005,470,48,43,0,17,442,205,0,17,0,17,352,308,0,17,352,308,1239,349,780,308,0,17,17,28,0,17,0,17,55,43,387,243,332,245,55,70
14000US08001008545,"Census Tract 85.45, Adams, CO",7186,784,6231,789,5693,780,8,14,0,17,332,202,0,17,16,25,182,138,0,17,182,138,955,298,726,259,0,17,25,39,0,17,0,17,125,134,79,80,79,80,0,17
14000US08001008546,"Census Tract 85.46, Adams, CO",4327,716,3426,603,2901,610,36,55,0,12,464,255,0,12,0,12,25,39,0,12,25,39,901,338,555,294,12,20,91,123,0,12,0,12,210,172,33,38,21,30,12,19
14000US08001008547,"Census Tract 85.47, Adams, CO",3108,522,2542,523,2186,331,0,12,19,24,32,39,9,15,0,12,296,420,255,418,41,38,566,153,441,133,0,12,0,12,0,12,0,12,71,60,54,73,47,71,7,16
14000US08001008548,"Census Tract 85.48, Adams, CO",1737,247,1296,299,1028,274,38,40,34,34,107,85,0,12,0,12,89,79,0,12,89,79,441,193,403,190,0,12,0,12,0,12,0,12,12,17,26,25,26,25,0,12
14000US08001008549,"Census Tract 85.49, Adams, CO",3905,748,2718,442,2182,292,0,12,37,42,421,369,0,12,0,12,78,66,46,56,32,31,1187,654,520,254,0,12,16,22,0,12,0,12,538,565,113,120,75,98,38,59
14000US08001008550,"Census Tract 85.50, Adams, CO",8258,1176,6326,847,5566,870,135,125,0,17,404,254,0,17,0,17,221,146,0,17,221,146,1932,690,1413,434,41,61,0,17,0,17,0,17,478,551,0,17,0,17,0,17
14000US08001008551,"Census Tract 85.51, Adams, CO",1697,272,1346,239,1077,211,15,27,0,12,159,109,0,12,0,12,95,71,0,12,95,71,351,138,303,126,0,12,0,12,0,12,0,12,16,20,32,44,32,44,0,12
14000US08001008603,"Census Tract 86.03, Adams, CO",1875,357,755,297,709,293,0,12,0,12,0,12,13,20,0,12,33,35,0,12,33,35,1120,249,876,179,0,12,0,12,0,12,0,12,183,177,61,57,7,11,54,57
14000US08001008604,"Census Tract 86.04, Adams, CO",5399,793,3458,674,2763,579,599,449,52,63,13,26,0,17,11,22,20,30,0,17,20,30,1941,411,1565,377,0,17,82,88,0,17,0,17,209,137,85,69,62,55,23,28
14000US08001008605,"Census Tract 86.05, Adams, CO",4040,740,2850,438,2676,418,27,42,34,42,92,85,0,12,0,12,21,36,0,12,21,36,1190,560,793,369,0,12,43,71,0,12,0,12,42,70,312,288,289,285,23,35
14000US08001008606,"Census Tract 86.06, Adams, CO",5762,799,3765,693,3358,653,19,28,40,61,285,244,0,17,0,17,63,58,31,39,32,44,1997,640,1263,499,16,25,82,138,0,17,0,17,603,396,33,39,33,39,0,17
14000US08001008705,"Census Tract 87.05, Adams, CO",5358,846,1429,306,1207,315,120,96,0,17,23,25,0,17,0,17,79,43,0,17,79,43,3929,864,2542,487,29,35,63,97,0,17,0,17,511,340,784,796,719,798,65,69
14000US08001008706,"Census Tract 87.06, Adams, CO",5625,905,2057,497,1605,555,440,358,0,17,0,17,0,17,0,17,12,17,0,17,12,17,3568,605,2540,697,0,17,63,86,12,18,0,17,819,425,134,134,64,71,70,110
14000US08001008709,"Census Tract 87.09, Adams, CO",7695,1072,2282,507,1728,443,457,313,74,77,0,17,0,17,0,17,23,54,0,17,23,54,5413,854,3461,806,0,17,61,80,0,17,0,17,800,425,1091,671,371,267,720,612
14000US08001008801,"Census Tract 88.01, Adams, CO",4977,715,1267,261,1082,275,173,131,0,12,0,12,0,12,0,12,12,15,0,12,12,15,3710,725,2386,519,55,81,0,12,0,12,0,12,642,377,627,541,547,548,80,101
14000US08001008802,"Census Tract 88.02, Adams, CO",5434,968,1199,344,1039,301,50,51,10,16,59,67,9,14,0,17,32,32,8,12,24,30,4235,864,2632,649,0,17,152,187,0,17,0,17,791,467,660,618,483,558,177,242
14000US08001008901,"Census Tract 89.01, Adams, CO",2741,480,706,91,640,90,10,15,12,13,44,50,0,12,0,12,0,12,0,12,0,12,2035,480,1518,480,0,12,29,44,0,12,0,12,338,200,150,112,129,111,21,22
14000US08001009001,"Census Tract 90.01, Adams, CO",4566,689,2672,546,2194,520,199,156,0,12,124,95,0,12,16,20,139,84,0,12,139,84,1894,435,1162,357,9,17,0,12,0,12,0,12,428,308,295,270,121,154,174,217
14000US08001009101,"Census Tract 91.01, Adams, CO",5052,718,2400,616,2210,621,14,22,0,17,12,22,0,17,0,17,164,110,0,17,164,110,2652,485,2229,430,0,17,0,17,0,17,0,17,183,107,240,179,195,166,45,68
14000US08001009103,"Census Tract 91.03, Adams, CO",4705,852,1575,533,1223,500,28,36,270,226,14,23,0,12,0,12,40,44,0,12,40,44,3130,755,2216,403,0,12,183,209,0,12,0,12,131,128,600,438,471,416,129,166
14000US08001009104,"Census Tract 91.04, Adams, CO",6356,1262,2489,394,2232,395,84,82,21,33,60,68,0,17,0,17,92,57,43,45,49,48,3867,1291,2296,639,26,43,25,37,0,17,0,17,666,411,854,1107,810,1105,44,58
14000US08001009202,"Census Tract 92.02, Adams, CO",4648,734,1423,238,1072,168,97,145,0,12,72,65,0,12,0,12,182,122,0,12,182,122,3225,740,2203,533,0,12,12,14,0,12,0,12,286,246,724,489,464,433,260,226
14000US08001009203,"Census Tract 92.03, Adams, CO",5677,968,1840,367,1604,338,21,29,23,34,145,129,0,17,0,17,47,46,0,17,47,46,3837,1071,2417,491,0,17,0,17,0,17,0,17,240,235,1180,925,774,861,406,374
14000US08001009204,"Census Tract 92.04, Adams, CO",6929,899,5356,915,3964,850,445,422,0,17,638,430,0,17,0,17,309,227,0,17,309,227,1573,624,1062,527,0,17,8,24,0,17,0,17,203,193,300,229,275,225,25,29
14000US08001009206,"Census Tract 92.06, Adams, CO",2594,338,1911,314,1542,313,7,8,0,12,284,194,0,12,0,12,78,62,0,12,78,62,683,123,478,187,28,44,46,58,0,12,0,12,33,30,98,103,78,102,20,25
14000US08001009207,"Census Tract 92.07, Adams, CO",5117,927,1979,253,1594,238,0,17,0,17,222,163,0,17,0,17,163,94,25,30,138,87,3138,980,1792,501,0,17,191,149,0,17,0,17,263,166,892,872,735,771,157,129
14000US08001009304,"Census Tract 93.04, Adams, CO",5715,725,3803,558,3200,560,131,170,27,39,240,220,3,7,76,107,126,90,0,17,126,90,1912,825,1482,665,0,17,0,17,325,469,0,17,57,98,48,74,0,17,48,74
14000US08001009306,"Census Tract 93.06, Adams, CO",3120,424,1517,260,1350,262,1,4,0,12,4,9,161,55,0,12,1,3,0,12,1,3,1603,361,1439,345,0,12,0,12,0,12,0,12,106,70,58,47,42,36,16,19
14000US08001009307,"Census Tract 93.07, Adams, CO",3217,641,1311,518,1231,493,5,11,9,15,16,26,0,12,18,29,32,42,0,12,32,42,1906,434,1358,418,0,12,10,16,0,12,0,12,394,284,144,176,96,149,48,84
14000US08001009308,"Census Tract 93.08, Adams, CO",4869,705,1748,451,1597,404,0,12,62,76,0,12,44,69,10,17,35,34,0,12,35,34,3121,773,2046,607,0,12,58,59,0,12,103,162,565,366,349,366,316,358,33,80
14000US08001009309,"Census Tract 93.09, Adams, CO",4230,619,1970,369,1391,285,17,24,0,12,496,244,0,12,0,12,66,63,0,12,66,63,2260,592,1387,331,0,12,7,11,0,12,0,12,65,93,801,561,534,576,267,217
14000US08001009310,"Census Tract 93.10, Adams, CO",6703,1457,1928,418,1438,331,180,149,31,39,80,116,36,57,19,29,144,98,52,53,92,82,4775,1380,3136,898,30,52,13,22,0,17,0,17,277,234,1319,1183,872,1187,447,269
14000US08001009316,"Census Tract 93.16, Adams, CO",7689,1311,1951,409,1754,360,114,141,16,28,0,17,0,17,56,69,11,13,0,17,11,13,5738,1292,4306,767,0,17,0,17,0,17,0,17,424,323,1008,1029,1008,1029,0,17
14000US08001009318,"Census Tract 93.18, Adams, CO",6892,1025,2808,871,2364,823,282,192,7,12,76,119,0,17,0,17,79,93,0,17,79,93,4084,1065,2859,1024,0,17,0,17,0,17,0,17,690,355,535,336,276,233,259,254
14000US08001009319,"Census Tract 93.19, Adams, CO",2771,550,1131,382,1043,374,0,12,28,29,10,18,0,12,0,12,50,38,0,12,50,38,1640,417,1243,282,0,12,36,59,0,12,0,12,107,66,254,290,228,290,26,38
14000US08001009320,"Census Tract 93.20, Adams, CO",2823,581,1051,276,941,269,20,25,0,12,42,43,0,12,8,13,40,50,0,12,40,50,1772,512,1152,356,0,12,0,12,0,12,0,12,201,184,419,328,271,257,148,192
14000US08001009321,"Census Tract 93.21, Adams, CO",4152,666,1578,330,1428,335,9,14,0,12,117,144,0,12,12,17,12,18,0,12,12,18,2574,765,1362,466,6,9,6,12,59,101,0,12,370,226,771,778,607,742,164,264
14000US08001009322,"Census Tract 93.22, Adams, CO",5717,1160,2349,511,1590,357,319,326,10,16,319,188,0,17,0,17,111,104,0,17,111,104,3368,1260,2080,721,23,37,0,17,0,17,0,17,1076,994,189,155,136,131,53,88
14000US08001009323,"Census Tract 93.23, Adams, CO",3952,457,2294,422,1571,259,156,120,4,7,335,301,0,12,0,12,228,148,8,12,220,148,1658,299,1113,206,7,12,31,61,0,12,0,12,97,61,410,202,320,200,90,80
14000US08001009325,"Census Tract 93.25, Adams, CO",5382,676,4635,623,4177,639,57,63,71,67,189,130,0,17,0,17,141,86,0,17,141,86,747,372,620,371,0,17,0,17,0,17,0,17,61,64,66,63,40,47,26,36
14000US08001009326,"Census Tract 93.26, Adams, CO",2936,464,2429,481,2020,515,82,65,0,12,310,170,0,12,0,12,17,27,0,12,17,27,507,292,429,279,28,41,0,12,0,12,0,12,31,36,19,20,10,15,9,15
14000US08001009327,"Census Tract 93.27, Adams, CO",4662,635,2820,414,2403,421,80,68,5,9,237,191,0,12,21,34,74,63,0,12,74,63,1842,527,1172,397,0,12,38,68,12,19,0,12,40,46,580,475,255,367,325,310
14000US08001009401,"Census Tract 94.01, Adams, CO",5218,654,2963,663,2523,525,12,14,0,17,356,383,0,17,0,17,72,86,50,81,22,25,2255,503,1873,480,0,17,0,17,1,10,0,17,90,54,291,227,172,122,119,158
14000US08001009406,"Census Tract 94.06, Adams, CO",4781,615,2840,306,2568,300,31,45,0,12,192,121,0,12,0,12,49,54,0,12,49,54,1941,581,1355,400,28,43,67,107,0,12,0,12,81,69,410,414,289,379,121,176
14000US08001009407,"Census Tract 94.07, Adams, CO",5173,956,3007,345,2471,368,49,44,30,40,211,160,0,17,0,17,246,150,0,17,246,150,2166,955,1118,351,0,17,3,4,0,17,0,17,379,243,666,906,36,43,630,911
14000US08001009408,"Census Tract 94.08, Adams, CO",4867,483,4460,487,3774,415,10,17,0,12,492,138,0,12,0,12,184,123,33,52,151,107,407,164,296,157,0,12,26,22,0,12,0,12,40,43,45,70,45,70,0,12
14000US08001009409,"Census Tract 94.09, Adams, CO",5407,899,5071,893,4806,865,193,264,0,17,72,102,0,17,0,17,0,17,0,17,0,17,336,202,129,68,18,32,99,176,0,17,0,17,65,71,25,26,21,25,4,6
14000US08001009410,"Census Tract 94.10, Adams, CO",3176,350,2715,295,2423,291,38,31,0,12,208,147,36,55,0,12,10,16,0,12,10,16,461,188,358,174,0,12,0,12,0,12,0,12,28,30,75,79,75,79,0,12
14000US08001009411,"Census Tract 94.11, Adams, CO",3083,353,2545,335,2353,355,21,33,5,10,52,42,0,12,0,12,114,79,0,12,114,79,538,131,404,152,0,12,0,12,0,12,0,12,96,121,38,51,38,51,0,12
14000US08001009501,"Census Tract 95.01, Adams, CO",3173,659,1303,268,1220,258,30,45,14,23,0,12,0,12,0,12,39,36,0,12,39,36,1870,611,1166,352,14,22,4,6,0,12,0,12,180,175,506,532,389,507,117,144
14000US08001009502,"Census Tract 95.02, Adams, CO",5008,895,1869,327,1562,304,57,72,21,35,172,143,0,17,1,3,56,58,10,17,46,56,3139,839,2551,809,0,17,172,225,107,142,0,17,122,60,187,164,112,125,75,96
14000US08001009553,"Census Tract 95.53, Adams, CO",3655,505,1268,229,981,191,11,19,44,41,25,28,21,36,131,109,55,66,0,12,55,66,2387,505,1597,344,0,12,0,12,0,12,0,12,42,50,748,474,398,378,350,274
14000US08001009603,"Census Tract 96.03, Adams, CO",6373,814,3859,512,3439,551,134,153,0,17,160,173,0,17,12,19,114,99,0,17,114,99,2514,615,1255,635,0,17,238,209,0,17,0,17,604,386,417,407,198,176,219,352
14000US08001009604,"Census Tract 96.04, Adams, CO",4146,436,2502,344,1888,314,183,149,139,142,225,181,0,12,0,12,67,67,0,12,67,67,1644,422,1165,323,0,12,28,25,0,12,0,12,191,108,260,219,131,137,129,182
14000US08001009606,"Census Tract 96.06, Adams, CO",2706,597,1031,343,814,367,55,65,13,17,52,71,0,12,86,113,11,21,0,12,11,21,1675,574,1163,429,0,12,31,52,0,12,0,12,392,359,89,112,89,112,0,12
14000US08001009607,"Census Tract 96.07, Adams, CO",4554,563,2360,288,1753,246,92,94,36,39,407,152,0,12,15,24,57,47,0,12,57,47,2194,511,1558,282,10,15,69,65,0,12,0,12,98,71,459,382,183,261,276,268
14000US08001009608,"Census Tract 96.08, Adams, CO",3135,24,2409,205,1909,289,1,3,23,34,408,282,0,12,0,12,68,64,0,12,68,64,726,203,490,168,0,12,33,53,0,12,0,12,144,129,59,48,11,19,48,48
14000US08001009751,"Census Tract 97.51, Adams, CO",4031,701,2053,429,1684,397,78,108,10,18,142,171,27,54,0,12,112,144,0,12,112,144,1978,571,1828,594,2,6,0,12,0,12,0,12,111,130,37,32,14,21,23,24
14000US08001009752,"Census Tract 97.52, Adams, CO",3161,602,1284,440,1187,448,46,37,0,12,0,12,0,12,3,6,48,52,5,7,43,52,1877,393,1573,394,0,12,0,12,0,12,0,12,113,76,191,141,136,107,55,92
14000US08001015000,"Census Tract 150, Adams, CO",3031,468,1257,226,1161,220,3,13,45,71,0,12,0,12,0,12,48,47,0,12,48,47,1774,402,1184,411,0,12,24,47,0,12,0,12,342,243,224,243,32,39,192,235
14000US08001060100,"Census Tract 601, Adams, CO",7549,703,5650,690,4601,565,79,73,12,20,544,363,0,17,0,17,414,246,63,100,351,233,1899,343,1653,335,0,17,16,24,0,17,0,17,161,153,69,83,52,79,17,27
14000US08001060200,"Census Tract 602, Adams, CO",4680,502,3596,461,3089,374,250,191,0,12,36,27,0,12,0,12,221,145,5,8,216,144,1084,290,830,231,0,12,8,15,0,12,0,12,64,83,182,134,131,135,51,62
14000US08001061200,"Census Tract 612, Adams, CO",3039,365,2709,325,2480,342,7,10,0,12,182,95,0,12,0,12,40,43,0,12,40,43,330,175,123,61,5,10,11,16,0,12,0,12,20,19,171,141,135,127,36,37
14000US08001988700,"Census Tract 9887, Adams, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08003960000,"Census Tract 9600, Alamosa, CO",2142,336,1733,319,1512,295,21,29,41,70,11,16,0,12,55,67,93,75,0,12,93,75,409,159,334,148,6,9,36,38,0,12,0,12,13,15,20,17,8,10,12,15
14000US08003960100,"Census Tract 9601, Alamosa, CO",2700,306,1814,266,1771,260,0,12,8,12,0,12,0,12,0,12,35,38,6,9,29,38,886,234,514,181,0,12,64,58,7,11,0,12,90,55,211,159,102,90,109,130
14000US08003960300,"Census Tract 9603, Alamosa, CO",5354,526,1612,272,1323,238,8,15,195,145,47,50,0,17,27,32,12,23,0,17,12,23,3742,503,2621,579,42,66,160,169,0,17,31,46,491,244,397,181,221,157,176,153
14000US08005004951,"Census Tract 49.51, Arapahoe, CO",1674,383,1604,380,1081,225,230,191,0,12,39,32,0,12,0,12,254,314,0,12,254,314,70,61,57,55,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12
14000US08005004952,"Census Tract 49.52, Arapahoe, CO",3512,381,2785,438,1835,327,659,580,0,12,108,68,51,72,0,12,132,83,0,12,132,83,727,240,394,199,0,12,0,12,11,16,0,12,245,202,77,66,40,33,37,62
14000US08005005551,"Census Tract 55.51, Arapahoe, CO",2940,517,1462,315,1293,297,74,96,0,12,34,62,0,12,0,12,61,50,0,12,61,50,1478,420,567,265,0,12,95,104,0,12,0,12,489,268,327,201,269,195,58,67
14000US08005005552,"Census Tract 55.52, Arapahoe, CO",2492,364,1580,327,1469,322,25,33,37,52,0,12,0,12,11,17,38,42,5,8,33,42,912,384,411,166,0,12,33,52,0,12,0,12,380,357,88,100,88,100,0,12
14000US08005005553,"Census Tract 55.53, Arapahoe, CO",4517,685,2734,372,2444,342,50,70,0,12,160,241,0,12,0,12,80,75,9,16,71,74,1783,613,1157,539,0,12,0,12,0,12,0,12,534,345,92,93,39,43,53,81
14000US08005005611,"Census Tract 56.11, Arapahoe, CO",5370,631,4759,565,4456,522,27,44,0,17,196,195,0,17,0,17,80,72,53,65,27,26,611,334,552,328,0,17,0,17,0,17,0,17,59,54,0,17,0,17,0,17
14000US08005005612,"Census Tract 56.12, Arapahoe, CO",3472,400,2989,397,2827,368,56,59,0,12,37,59,0,12,0,12,69,77,0,12,69,77,483,218,368,212,0,12,0,12,0,12,0,12,75,61,40,44,27,39,13,21
14000US08005005614,"Census Tract 56.14, Arapahoe, CO",3236,352,2774,348,2617,350,41,65,21,35,17,19,0,12,0,12,78,70,0,12,78,70,462,222,171,91,0,12,0,12,0,12,0,12,193,175,98,148,0,12,98,148
14000US08005005619,"Census Tract 56.19, Arapahoe, CO",5188,856,4496,836,4274,836,0,17,94,93,33,32,0,17,0,17,95,71,4,5,91,70,692,231,591,235,0,17,8,13,0,17,0,17,31,31,62,44,62,44,0,17
14000US08005005620,"Census Tract 56.20, Arapahoe, CO",2835,444,2292,269,1935,215,45,44,0,12,227,174,0,12,11,15,74,69,4,8,70,67,543,301,362,224,0,12,0,12,0,12,0,12,26,27,155,200,147,200,8,13
14000US08005005621,"Census Tract 56.21, Arapahoe, CO",2551,260,2424,252,2260,234,0,12,0,12,38,48,0,12,0,12,126,69,0,12,126,69,127,85,103,79,0,12,0,12,0,12,0,12,1,8,23,29,21,29,2,4
14000US08005005622,"Census Tract 56.22, Arapahoe, CO",2768,310,2592,314,2537,305,0,12,0,12,18,18,0,12,0,12,37,27,0,12,37,27,176,120,85,48,0,12,0,12,0,12,0,12,81,111,10,16,10,16,0,12
14000US08005005623,"Census Tract 56.23, Arapahoe, CO",3911,332,3750,328,3635,328,11,16,9,15,41,32,0,12,0,12,54,43,0,12,54,43,161,97,118,87,0,12,0,12,0,12,0,12,43,42,0,12,0,12,0,12
14000US08005005624,"Census Tract 56.24, Arapahoe, CO",2355,283,2228,279,2149,275,27,27,0,12,42,44,0,12,0,12,10,18,0,12,10,18,127,83,49,40,0,12,0,12,0,12,0,12,0,12,78,65,9,12,69,65
14000US08005005625,"Census Tract 56.25, Arapahoe, CO",3968,443,3437,375,3106,358,0,12,0,12,236,217,0,12,0,12,95,92,0,12,95,92,531,239,195,154,0,12,0,12,0,12,0,12,89,76,247,162,214,152,33,52
14000US08005005626,"Census Tract 56.26, Arapahoe, CO",3889,591,3675,615,3341,611,1,5,0,12,168,134,0,12,17,28,148,99,8,12,140,98,214,180,203,181,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12
14000US08005005627,"Census Tract 56.27, Arapahoe, CO",4702,358,4517,353,4270,317,63,96,3,6,61,51,0,12,0,12,120,69,0,12,120,69,185,88,129,74,0,12,0,12,0,12,0,12,56,75,0,12,0,12,0,12
14000US08005005628,"Census Tract 56.28, Arapahoe, CO",5961,709,5357,674,5281,668,38,37,7,14,0,17,0,17,0,17,31,40,0,17,31,40,604,270,417,244,0,17,0,17,0,17,0,17,54,73,133,155,133,155,0,17
14000US08005005629,"Census Tract 56.29, Arapahoe, CO",2722,409,2577,394,2246,331,64,89,0,12,216,208,0,12,0,12,51,47,4,6,47,46,145,115,39,38,0,12,0,12,0,12,0,12,0,12,106,112,95,109,11,16
14000US08005005630,"Census Tract 56.30, Arapahoe, CO",5331,518,4872,438,4681,433,21,33,36,55,35,42,0,17,0,17,99,75,0,17,99,75,459,365,230,292,0,17,0,17,0,17,0,17,103,118,126,154,120,152,6,11
14000US08005005631,"Census Tract 56.31, Arapahoe, CO",3440,473,3242,530,2962,562,19,28,0,12,23,32,0,12,12,19,226,125,26,29,200,117,198,132,157,130,7,12,0,12,0,12,0,12,21,25,13,18,13,18,0,12
14000US08005005632,"Census Tract 56.32, Arapahoe, CO",3062,271,2746,285,2523,309,18,27,0,12,81,71,0,12,17,26,107,80,0,12,107,80,316,184,274,171,0,12,0,12,0,12,0,12,24,37,18,27,18,27,0,12
14000US08005005633,"Census Tract 56.33, Arapahoe, CO",3742,892,3497,909,3354,906,0,12,0,12,102,79,0,12,0,12,41,43,0,12,41,43,245,161,166,153,0,12,0,12,0,12,0,12,21,30,58,47,54,44,4,7
14000US08005005634,"Census Tract 56.34, Arapahoe, CO",2853,261,2684,255,2588,244,0,12,21,23,33,47,0,12,0,12,42,56,0,12,42,56,169,86,140,77,0,12,6,10,0,12,0,12,23,34,0,12,0,12,0,12
14000US08005005635,"Census Tract 56.35, Arapahoe, CO",4742,386,4450,349,3991,323,129,115,48,56,56,65,37,46,0,12,189,167,0,12,189,167,292,129,182,81,0,12,0,12,0,12,0,12,34,43,76,111,76,111,0,12
